[01:00:08] IDS Traffic Simulator Started...
Targeting: http://localhost:5000/api/predict
[01:00:09] ✅ Tenant: TechCorp G | Src: 97.108.46.153   | Sig: Normal Traffic            | Sev: Low
[01:01:11] ✅ Tenant: Mercy Gene | Src: 95.174.17.235   | Sig: Normal Traffic            | Sev: Low
[01:01:13] ✅ Tenant: Oakridge P | Src: 70.150.68.22    | Sig: Normal Traffic            | Sev: Low
[01:01:15] ✅ Tenant: Oakridge P | Src: 173.245.48.0    | Sig: Normal Traffic            | Sev: Low
[01:01:17] ✅ Tenant: Mercy Gene | Src: 109.42.37.207   | Sig: Normal Traffic            | Sev: Low
[01:01:22] ✅ Tenant: TechCorp G | Src: 230.239.158.130 | Sig: Normal Traffic            | Sev: Low
[01:01:25] 🚨 Tenant: Mercy Gene | Src: 181.251.87.26   | Sig: ET EXPLOIT Possible SQL I | Sev: High
[01:01:28] ✅ Tenant: Local Sens | Src: 97.25.70.14     | Sig: Normal Traffic            | Sev: Low
[01:01:33] ✅ Tenant: Oakridge P | Src: 173.245.48.0    | Sig: Normal Traffic            | Sev: Low
[01:01:37] ✅ Tenant: Local Sens | Src: 53.188.177.161  | Sig: Normal Traffic            | Sev: Low
[01:01:40] ✅ Tenant: Oakridge P | Src: 105.193.32.148  | Sig: Normal Traffic            | Sev: Low
[01:01:43] ✅ Tenant: TechCorp G | Src: 66.244.78.155   | Sig: Normal Traffic            | Sev: Low
[01:01:47] ✅ Tenant: Apex Finan | Src: 103.21.244.0    | Sig: ET POLICY SSH Brute Force | Sev: Medium
[01:01:49] ✅ Tenant: Local Sens | Src: 141.101.64.0    | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:01:53] ✅ Tenant: Oakridge P | Src: 70.193.248.63   | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:01:55] ✅ Tenant: Oakridge P | Src: 168.186.188.131 | Sig: Normal Traffic            | Sev: Low
[01:01:58] ✅ Tenant: Local Sens | Src: 140.42.144.227  | Sig: Normal Traffic            | Sev: Low
[01:02:03] ✅ Tenant: Local Sens | Src: 182.107.23.253  | Sig: Normal Traffic            | Sev: Low
[01:02:09] 🚨 Tenant: Mercy Gene | Src: 1.1.1.1         | Sig: ET WEB_SERVER Apache Log4 | Sev: Critical
[01:02:13] ✅ Tenant: Apex Finan | Src: 103.21.244.0    | Sig: ET POLICY SSH Brute Force | Sev: Medium
[01:02:17] ✅ Tenant: Local Sens | Src: 251.35.154.208  | Sig: Normal Traffic            | Sev: Low
[01:02:19] ✅ Tenant: Apex Finan | Src: 247.161.55.70   | Sig: Normal Traffic            | Sev: Low
[01:02:20] ✅ Tenant: Mercy Gene | Src: 51.208.89.147   | Sig: Normal Traffic            | Sev: Low
[01:02:24] ✅ Tenant: Apex Finan | Src: 136.30.168.19   | Sig: Normal Traffic            | Sev: Low
[01:02:28] ✅ Tenant: Apex Finan | Src: 8.8.8.8         | Sig: Normal Traffic            | Sev: Low
[01:02:30] ✅ Tenant: Apex Finan | Src: 189.239.238.53  | Sig: Normal Traffic            | Sev: Low
[01:02:35] ✅ Tenant: Apex Finan | Src: 45.12.99.11     | Sig: Normal Traffic            | Sev: Low
[01:02:39] ✅ Tenant: Local Sens | Src: 204.132.143.89  | Sig: Normal Traffic            | Sev: Low
[01:02:43] ✅ Tenant: Mercy Gene | Src: 185.22.14.102   | Sig: Normal Traffic            | Sev: Low
[01:02:46] ✅ Tenant: Oakridge P | Src: 173.245.48.0    | Sig: Normal Traffic            | Sev: Low
[01:02:51] ✅ Tenant: Apex Finan | Src: 179.244.170.81  | Sig: ET POLICY SSH Brute Force | Sev: Medium
[01:02:54] ✅ Tenant: Oakridge P | Src: 132.236.172.240 | Sig: Normal Traffic            | Sev: Low
[01:02:57] ✅ Tenant: Apex Finan | Src: 173.245.48.0    | Sig: Normal Traffic            | Sev: Low
[01:03:00] 🚨 Tenant: Oakridge P | Src: 171.145.4.109   | Sig: Normal Traffic            | Sev: High
[01:03:03] ✅ Tenant: Oakridge P | Src: 134.136.155.78  | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:03:07] ✅ Tenant: Oakridge P | Src: 137.67.194.149  | Sig: Normal Traffic            | Sev: Low
[01:03:10] ✅ Tenant: City Munic | Src: 127.231.153.72  | Sig: Normal Traffic            | Sev: Low
[01:03:12] ✅ Tenant: Apex Finan | Src: 45.12.99.11     | Sig: Normal Traffic            | Sev: Low
[01:03:14] ✅ Tenant: Local Sens | Src: 103.21.244.0    | Sig: Normal Traffic            | Sev: Low
[01:03:17] 🚨 Tenant: City Munic | Src: 227.74.94.178   | Sig: ET WEB_SERVER Apache Log4 | Sev: Critical
[01:03:20] ✅ Tenant: Apex Finan | Src: 45.12.99.11     | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:03:23] ✅ Tenant: Local Sens | Src: 137.18.226.25   | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:03:26] ✅ Tenant: City Munic | Src: 60.33.17.141    | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:03:31] ✅ Tenant: Local Sens | Src: 190.93.240.0    | Sig: Normal Traffic            | Sev: Low
[01:03:36] ✅ Tenant: TechCorp G | Src: 30.207.1.203    | Sig: Normal Traffic            | Sev: Low
[01:03:38] ✅ Tenant: Oakridge P | Src: 139.219.33.41   | Sig: Normal Traffic            | Sev: Low
[01:03:40] ✅ Tenant: Apex Finan | Src: 182.211.181.196 | Sig: Normal Traffic            | Sev: Low
[01:03:44] ✅ Tenant: TechCorp G | Src: 8.8.8.8         | Sig: Normal Traffic            | Sev: Low
[01:03:46] ✅ Tenant: Local Sens | Src: 144.112.187.154 | Sig: Normal Traffic            | Sev: Low
[01:03:48] ✅ Tenant: City Munic | Src: 173.245.48.0    | Sig: Normal Traffic            | Sev: Low
[01:03:50] ✅ Tenant: TechCorp G | Src: 90.95.57.171    | Sig: Normal Traffic            | Sev: Low
[01:03:56] 🚨 Tenant: Mercy Gene | Src: 48.144.38.100   | Sig: Normal Traffic            | Sev: High
[01:04:01] ✅ Tenant: Apex Finan | Src: 115.122.8.230   | Sig: Normal Traffic            | Sev: Low
[01:04:04] ✅ Tenant: Local Sens | Src: 123.139.39.158  | Sig: Normal Traffic            | Sev: Low
[01:04:07] ✅ Tenant: Mercy Gene | Src: 185.22.14.102   | Sig: Normal Traffic            | Sev: Low
[01:04:10] ✅ Tenant: TechCorp G | Src: 115.118.161.52  | Sig: Normal Traffic            | Sev: Low
[01:04:14] ✅ Tenant: TechCorp G | Src: 1.1.1.1         | Sig: Normal Traffic            | Sev: Low
[01:04:16] ✅ Tenant: Oakridge P | Src: 103.21.244.0    | Sig: Normal Traffic            | Sev: Low
[01:04:18] ✅ Tenant: Mercy Gene | Src: 141.101.64.0    | Sig: Normal Traffic            | Sev: Low
[01:04:20] ✅ Tenant: Oakridge P | Src: 185.22.14.102   | Sig: Normal Traffic            | Sev: Low
[01:04:26] 🚨 Tenant: Apex Finan | Src: 45.12.99.11     | Sig: ET WEB_SERVER Apache Log4 | Sev: Critical
[01:04:30] ✅ Tenant: Mercy Gene | Src: 118.76.34.150   | Sig: Normal Traffic            | Sev: Low
[01:04:32] ✅ Tenant: City Munic | Src: 198.218.59.161  | Sig: Normal Traffic            | Sev: Low
[01:04:37] ✅ Tenant: TechCorp G | Src: 1.1.1.1         | Sig: Normal Traffic            | Sev: Low
[01:04:41] ✅ Tenant: Local Sens | Src: 246.86.83.189   | Sig: Normal Traffic            | Sev: Low
[01:04:44] ✅ Tenant: City Munic | Src: 68.168.150.80   | Sig: Normal Traffic            | Sev: Low
[01:04:46] ✅ Tenant: Local Sens | Src: 141.101.64.0    | Sig: Normal Traffic            | Sev: Low
[01:04:49] ✅ Tenant: TechCorp G | Src: 244.193.142.40  | Sig: Normal Traffic            | Sev: Low
[01:04:51] ✅ Tenant: TechCorp G | Src: 182.26.31.249   | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:04:56] ✅ Tenant: Mercy Gene | Src: 73.204.206.78   | Sig: Normal Traffic            | Sev: Low
[01:05:00] ✅ Tenant: Oakridge P | Src: 102.239.129.226 | Sig: Normal Traffic            | Sev: Low
[01:05:03] 🚨 Tenant: Oakridge P | Src: 173.245.48.0    | Sig: ET EXPLOIT Possible SQL I | Sev: High
[01:05:07] ✅ Tenant: Oakridge P | Src: 174.104.97.5    | Sig: Normal Traffic            | Sev: Low
[01:05:12] ✅ Tenant: Apex Finan | Src: 111.24.178.213  | Sig: Normal Traffic            | Sev: Low
[01:05:15] ✅ Tenant: TechCorp G | Src: 1.1.1.1         | Sig: ET POLICY SSH Brute Force | Sev: Medium
[01:05:20] ✅ Tenant: Oakridge P | Src: 120.59.119.193  | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:05:24] ✅ Tenant: TechCorp G | Src: 190.93.240.0    | Sig: Normal Traffic            | Sev: Low
[01:05:27] ✅ Tenant: Apex Finan | Src: 17.165.29.107   | Sig: ET POLICY SSH Brute Force | Sev: Medium
[01:05:29] ✅ Tenant: Mercy Gene | Src: 37.145.9.11     | Sig: ET POLICY SSH Brute Force | Sev: Medium
[01:05:31] ✅ Tenant: Mercy Gene | Src: 190.93.240.0    | Sig: ET POLICY SSH Brute Force | Sev: Medium
[01:05:34] ✅ Tenant: Local Sens | Src: 75.156.114.26   | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:05:39] ✅ Tenant: City Munic | Src: 103.21.244.0    | Sig: Normal Traffic            | Sev: Low
[01:05:44] ✅ Tenant: Local Sens | Src: 62.242.130.131  | Sig: Normal Traffic            | Sev: Low
[01:05:46] ✅ Tenant: TechCorp G | Src: 127.103.23.242  | Sig: Normal Traffic            | Sev: Low
[01:05:52] 🚨 Tenant: Oakridge P | Src: 35.223.119.186  | Sig: ET EXPLOIT Possible SQL I | Sev: High
[01:05:55] ✅ Tenant: Local Sens | Src: 77.118.6.4      | Sig: Normal Traffic            | Sev: Low
[01:05:58] ✅ Tenant: City Munic | Src: 185.245.80.232  | Sig: Normal Traffic            | Sev: Low
[01:06:01] ✅ Tenant: Mercy Gene | Src: 79.67.80.151    | Sig: Normal Traffic            | Sev: Low
[01:06:06] 🚨 Tenant: City Munic | Src: 203.211.6.179   | Sig: ET EXPLOIT Possible SQL I | Sev: High
[01:06:08] ✅ Tenant: Mercy Gene | Src: 226.78.151.227  | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:06:13] ✅ Tenant: Apex Finan | Src: 71.133.59.109   | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:06:15] ✅ Tenant: TechCorp G | Src: 6.125.110.233   | Sig: Normal Traffic            | Sev: Low
[01:06:19] 🚨 Tenant: Oakridge P | Src: 190.93.240.0    | Sig: ET WEB_SERVER Apache Log4 | Sev: Critical
[01:06:23] ✅ Tenant: Local Sens | Src: 151.28.132.250  | Sig: Normal Traffic            | Sev: Low
[01:06:27] 🚨 Tenant: Local Sens | Src: 191.79.37.108   | Sig: ET WEB_SERVER Apache Log4 | Sev: Critical
[01:06:31] ✅ Tenant: Mercy Gene | Src: 141.101.64.0    | Sig: Normal Traffic            | Sev: Low
[01:06:35] ✅ Tenant: Local Sens | Src: 75.165.61.127   | Sig: Normal Traffic            | Sev: Low
[01:06:40] ✅ Tenant: City Munic | Src: 252.30.113.19   | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:06:42] ✅ Tenant: City Munic | Src: 113.152.197.58  | Sig: Normal Traffic            | Sev: Low
[01:06:45] ✅ Tenant: Apex Finan | Src: 68.123.131.129  | Sig: Normal Traffic            | Sev: Low
[01:06:47] ✅ Tenant: Local Sens | Src: 45.12.99.11     | Sig: Normal Traffic            | Sev: Low
[01:06:52] ✅ Tenant: Apex Finan | Src: 233.53.54.5     | Sig: Normal Traffic            | Sev: Low
[01:06:55] ✅ Tenant: City Munic | Src: 69.72.150.86    | Sig: Normal Traffic            | Sev: Low
[01:06:58] ✅ Tenant: TechCorp G | Src: 45.12.99.11     | Sig: Normal Traffic            | Sev: Low
[01:07:01] ✅ Tenant: Mercy Gene | Src: 198.172.128.28  | Sig: Normal Traffic            | Sev: Low
[01:07:02] ✅ Tenant: Oakridge P | Src: 240.179.170.107 | Sig: ET POLICY SSH Brute Force | Sev: Medium
[01:07:05] ✅ Tenant: Mercy Gene | Src: 149.212.112.111 | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:07:07] ✅ Tenant: Apex Finan | Src: 15.18.68.218    | Sig: Normal Traffic            | Sev: Low
[01:07:09] ✅ Tenant: Mercy Gene | Src: 79.218.194.97   | Sig: Normal Traffic            | Sev: Low
[01:07:13] ✅ Tenant: Local Sens | Src: 76.231.175.81   | Sig: Normal Traffic            | Sev: Low
[01:07:17] ✅ Tenant: Apex Finan | Src: 137.245.223.195 | Sig: Normal Traffic            | Sev: Low
[01:07:19] ✅ Tenant: Apex Finan | Src: 194.80.46.130   | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:07:23] ✅ Tenant: Local Sens | Src: 103.21.244.0    | Sig: Normal Traffic            | Sev: Low
[01:07:25] ✅ Tenant: Apex Finan | Src: 5.156.47.179    | Sig: Normal Traffic            | Sev: Low
[01:07:30] ✅ Tenant: TechCorp G | Src: 137.197.11.166  | Sig: Normal Traffic            | Sev: Low
[01:07:34] ✅ Tenant: TechCorp G | Src: 139.120.235.159 | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:07:37] ✅ Tenant: Apex Finan | Src: 110.19.87.126   | Sig: Normal Traffic            | Sev: Low
[01:07:39] ✅ Tenant: TechCorp G | Src: 210.127.242.186 | Sig: Normal Traffic            | Sev: Low
[01:07:43] ✅ Tenant: City Munic | Src: 49.172.230.233  | Sig: Normal Traffic            | Sev: Low
[01:07:47] ✅ Tenant: Apex Finan | Src: 147.69.44.227   | Sig: Normal Traffic            | Sev: Low
[01:07:49] ✅ Tenant: Oakridge P | Src: 250.68.253.118  | Sig: Normal Traffic            | Sev: Low
[01:07:54] ✅ Tenant: City Munic | Src: 251.183.114.121 | Sig: Normal Traffic            | Sev: Low
[01:07:59] ✅ Tenant: Local Sens | Src: 8.8.8.8         | Sig: ET POLICY SSH Brute Force | Sev: Medium
[01:08:02] ✅ Tenant: City Munic | Src: 58.1.207.1      | Sig: Normal Traffic            | Sev: Low
[01:08:07] ✅ Tenant: City Munic | Src: 184.242.35.41   | Sig: Normal Traffic            | Sev: Low
[01:08:11] ✅ Tenant: Oakridge P | Src: 192.116.51.3    | Sig: Normal Traffic            | Sev: Low
[01:08:15] ✅ Tenant: TechCorp G | Src: 173.245.48.0    | Sig: Normal Traffic            | Sev: Low
[01:08:18] ✅ Tenant: City Munic | Src: 32.220.131.164  | Sig: Normal Traffic            | Sev: Low
[01:08:22] ✅ Tenant: City Munic | Src: 217.34.62.29    | Sig: Normal Traffic            | Sev: Low
[01:08:24] ✅ Tenant: City Munic | Src: 185.22.14.102   | Sig: Normal Traffic            | Sev: Low
[01:08:27] ✅ Tenant: Mercy Gene | Src: 190.93.240.0    | Sig: Normal Traffic            | Sev: Low
[01:08:32] ✅ Tenant: Local Sens | Src: 33.137.77.67    | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:08:36] 🚨 Tenant: Apex Finan | Src: 8.8.8.8         | Sig: ET WEB_SERVER Apache Log4 | Sev: Critical
[01:08:40] ✅ Tenant: Mercy Gene | Src: 191.44.49.218   | Sig: Normal Traffic            | Sev: Low
[01:08:43] ✅ Tenant: Local Sens | Src: 14.111.58.184   | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:08:46] ✅ Tenant: TechCorp G | Src: 141.101.64.0    | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:08:48] ✅ Tenant: Oakridge P | Src: 213.13.44.176   | Sig: Normal Traffic            | Sev: Low
[01:08:50] ✅ Tenant: Mercy Gene | Src: 186.254.136.22  | Sig: Normal Traffic            | Sev: Low
[01:08:54] ✅ Tenant: Oakridge P | Src: 56.67.117.115   | Sig: Normal Traffic            | Sev: Low
[01:08:56] ✅ Tenant: Local Sens | Src: 215.112.76.91   | Sig: ET POLICY SSH Brute Force | Sev: Medium
[01:08:58] ✅ Tenant: Mercy Gene | Src: 226.155.123.178 | Sig: Normal Traffic            | Sev: Low
[01:08:59] ✅ Tenant: Mercy Gene | Src: 86.230.222.160  | Sig: Normal Traffic            | Sev: Low
[01:09:04] 🚨 Tenant: City Munic | Src: 121.184.140.75  | Sig: ET WEB_SERVER Apache Log4 | Sev: Critical
[01:09:09] ✅ Tenant: Mercy Gene | Src: 246.87.164.201  | Sig: Normal Traffic            | Sev: Low
[01:09:11] ✅ Tenant: City Munic | Src: 124.170.179.19  | Sig: Normal Traffic            | Sev: Low
[01:09:13] ✅ Tenant: Apex Finan | Src: 255.157.43.59   | Sig: ET POLICY SSH Brute Force | Sev: Medium
[01:09:18] ✅ Tenant: Mercy Gene | Src: 103.21.244.0    | Sig: Normal Traffic            | Sev: Low
[01:09:23] ✅ Tenant: TechCorp G | Src: 206.252.216.6   | Sig: Normal Traffic            | Sev: Low
[01:09:24] ✅ Tenant: Apex Finan | Src: 232.78.221.55   | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:09:26] ✅ Tenant: City Munic | Src: 215.87.89.2     | Sig: Normal Traffic            | Sev: Low
[01:09:27] ✅ Tenant: Mercy Gene | Src: 45.12.99.11     | Sig: Normal Traffic            | Sev: Low
[01:09:31] ✅ Tenant: Mercy Gene | Src: 123.208.11.215  | Sig: Normal Traffic            | Sev: Low
[01:09:34] ✅ Tenant: TechCorp G | Src: 239.65.182.109  | Sig: Normal Traffic            | Sev: Low
[01:09:35] ✅ Tenant: TechCorp G | Src: 83.88.139.195   | Sig: Normal Traffic            | Sev: Low
[01:09:40] 🚨 Tenant: City Munic | Src: 8.8.8.8         | Sig: ET WEB_SERVER Apache Log4 | Sev: Critical
[01:09:44] ✅ Tenant: Mercy Gene | Src: 220.74.197.227  | Sig: Normal Traffic            | Sev: Low
[01:09:49] ✅ Tenant: Oakridge P | Src: 168.188.181.148 | Sig: Normal Traffic            | Sev: Low
[01:09:52] ✅ Tenant: Mercy Gene | Src: 182.28.199.165  | Sig: Normal Traffic            | Sev: Low
[01:09:54] ✅ Tenant: TechCorp G | Src: 148.146.76.73   | Sig: Normal Traffic            | Sev: Low
[01:09:57] ✅ Tenant: Local Sens | Src: 23.150.110.188  | Sig: Normal Traffic            | Sev: Low
[01:10:00] ✅ Tenant: TechCorp G | Src: 103.21.244.0    | Sig: Normal Traffic            | Sev: Low
[01:10:05] 🚨 Tenant: Local Sens | Src: 173.245.48.0    | Sig: ET WEB_SERVER Apache Log4 | Sev: Critical
[01:10:10] ✅ Tenant: TechCorp G | Src: 94.110.92.109   | Sig: Normal Traffic            | Sev: Low
[01:10:13] ✅ Tenant: Mercy Gene | Src: 75.164.119.208  | Sig: Normal Traffic            | Sev: Low
[01:10:18] ✅ Tenant: Apex Finan | Src: 65.50.39.16     | Sig: Normal Traffic            | Sev: Low
[01:10:22] ✅ Tenant: Mercy Gene | Src: 62.85.67.38     | Sig: Normal Traffic            | Sev: Low
[01:10:25] 🚨 Tenant: TechCorp G | Src: 79.98.167.212   | Sig: ET EXPLOIT Possible SQL I | Sev: High
[01:10:29] 🚨 Tenant: Mercy Gene | Src: 182.105.63.232  | Sig: ET WEB_SERVER Apache Log4 | Sev: Critical
[01:10:33] ✅ Tenant: City Munic | Src: 45.12.99.11     | Sig: Normal Traffic            | Sev: Low
[01:10:37] ✅ Tenant: Oakridge P | Src: 190.93.240.0    | Sig: Normal Traffic            | Sev: Low
[01:10:42] ✅ Tenant: TechCorp G | Src: 229.45.213.115  | Sig: ET POLICY SSH Brute Force | Sev: Medium
[01:10:45] ✅ Tenant: Oakridge P | Src: 72.171.220.160  | Sig: Normal Traffic            | Sev: Low
[01:10:50] ✅ Tenant: Oakridge P | Src: 141.101.64.0    | Sig: Normal Traffic            | Sev: Low
[01:10:55] ✅ Tenant: Apex Finan | Src: 105.60.79.189   | Sig: Normal Traffic            | Sev: Low
[01:10:56] ✅ Tenant: Local Sens | Src: 212.97.70.118   | Sig: Normal Traffic            | Sev: Low
[01:10:58] ✅ Tenant: Apex Finan | Src: 1.1.1.1         | Sig: Normal Traffic            | Sev: Low
[01:11:00] ✅ Tenant: Local Sens | Src: 221.60.166.28   | Sig: Normal Traffic            | Sev: Low
[01:11:05] ✅ Tenant: Mercy Gene | Src: 247.40.89.162   | Sig: Normal Traffic            | Sev: Low
[01:11:09] 🚨 Tenant: City Munic | Src: 20.237.211.204  | Sig: ET WEB_SERVER Apache Log4 | Sev: Critical
[01:11:13] ✅ Tenant: TechCorp G | Src: 8.105.83.144    | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:11:18] ✅ Tenant: Apex Finan | Src: 17.184.227.22   | Sig: Normal Traffic            | Sev: Low
[01:11:21] ✅ Tenant: TechCorp G | Src: 91.16.209.174   | Sig: Normal Traffic            | Sev: Low
[01:11:23] ✅ Tenant: Local Sens | Src: 183.106.150.167 | Sig: Normal Traffic            | Sev: Low
[01:11:26] 🚨 Tenant: Mercy Gene | Src: 56.56.222.162   | Sig: Normal Traffic            | Sev: High
[01:11:29] ✅ Tenant: TechCorp G | Src: 216.5.252.89    | Sig: Normal Traffic            | Sev: Low
[01:11:31] ✅ Tenant: Apex Finan | Src: 59.90.86.207    | Sig: Normal Traffic            | Sev: Low
[01:11:34] ✅ Tenant: Local Sens | Src: 190.93.240.0    | Sig: Normal Traffic            | Sev: Low
[01:11:36] ✅ Tenant: Mercy Gene | Src: 211.4.102.102   | Sig: Normal Traffic            | Sev: Low
[01:11:39] ✅ Tenant: City Munic | Src: 41.147.3.175    | Sig: Normal Traffic            | Sev: Low
[01:11:44] ✅ Tenant: City Munic | Src: 101.216.4.98    | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:11:46] ✅ Tenant: City Munic | Src: 240.154.250.227 | Sig: Normal Traffic            | Sev: Low
[01:11:49] ✅ Tenant: Mercy Gene | Src: 185.22.14.102   | Sig: Normal Traffic            | Sev: Low
[01:11:54] ✅ Tenant: City Munic | Src: 215.213.116.194 | Sig: ET POLICY SSH Brute Force | Sev: Medium
[01:11:56] ✅ Tenant: Mercy Gene | Src: 185.22.14.102   | Sig: Normal Traffic            | Sev: Low
[01:11:59] ✅ Tenant: TechCorp G | Src: 1.1.1.1         | Sig: Normal Traffic            | Sev: Low
[01:12:04] ✅ Tenant: Apex Finan | Src: 46.83.163.2     | Sig: Normal Traffic            | Sev: Low
[01:12:05] ✅ Tenant: City Munic | Src: 1.1.1.1         | Sig: Normal Traffic            | Sev: Low
[01:12:08] ✅ Tenant: Oakridge P | Src: 45.12.99.11     | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:12:10] ✅ Tenant: Local Sens | Src: 22.134.223.184  | Sig: Normal Traffic            | Sev: Low
[01:12:15] ✅ Tenant: Apex Finan | Src: 39.65.205.63    | Sig: Normal Traffic            | Sev: Low
[01:12:17] ✅ Tenant: City Munic | Src: 141.35.37.133   | Sig: Normal Traffic            | Sev: Low
[01:12:22] 🚨 Tenant: Apex Finan | Src: 218.188.46.10   | Sig: ET EXPLOIT Possible SQL I | Sev: High
[01:12:25] ✅ Tenant: Apex Finan | Src: 149.61.217.106  | Sig: Normal Traffic            | Sev: Low
[01:12:28] ✅ Tenant: TechCorp G | Src: 40.196.48.13    | Sig: Normal Traffic            | Sev: Low
[01:12:33] ✅ Tenant: City Munic | Src: 233.127.17.96   | Sig: Normal Traffic            | Sev: Low
[01:12:35] ✅ Tenant: TechCorp G | Src: 91.200.110.137  | Sig: Normal Traffic            | Sev: Low
[01:12:37] ✅ Tenant: TechCorp G | Src: 103.21.244.0    | Sig: Normal Traffic            | Sev: Low
[01:12:39] ✅ Tenant: Oakridge P | Src: 1.1.1.1         | Sig: Normal Traffic            | Sev: Low
[01:12:44] ✅ Tenant: Mercy Gene | Src: 134.109.201.220 | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:12:48] 🚨 Tenant: City Munic | Src: 8.8.8.8         | Sig: ET EXPLOIT Possible SQL I | Sev: High
[01:12:52] ✅ Tenant: Mercy Gene | Src: 124.126.202.218 | Sig: Normal Traffic            | Sev: Low
[01:12:54] ✅ Tenant: TechCorp G | Src: 93.249.50.156   | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:12:57] ✅ Tenant: Mercy Gene | Src: 8.8.8.8         | Sig: Normal Traffic            | Sev: Low
[01:13:00] ✅ Tenant: Mercy Gene | Src: 177.161.164.185 | Sig: ET POLICY SSH Brute Force | Sev: Medium
[01:13:02] ✅ Tenant: Mercy Gene | Src: 178.105.60.115  | Sig: Normal Traffic            | Sev: Low
[01:13:05] ✅ Tenant: Mercy Gene | Src: 141.101.64.0    | Sig: Normal Traffic            | Sev: Low
[01:13:08] ✅ Tenant: TechCorp G | Src: 213.195.138.254 | Sig: Normal Traffic            | Sev: Low
[01:13:10] 🚨 Tenant: Apex Finan | Src: 168.161.23.202  | Sig: ET EXPLOIT Possible SQL I | Sev: High
[01:13:12] ✅ Tenant: Mercy Gene | Src: 113.153.212.103 | Sig: Normal Traffic            | Sev: Low
[01:13:13] ✅ Tenant: TechCorp G | Src: 45.12.99.11     | Sig: Normal Traffic            | Sev: Low
